league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,year_of_foundation
Bundesliga,BV Borussia 09 Dortmund,2021-2022,34,22,3,9,85.0,2.0294117647058822,1909
Bundesliga,BV Borussia 09 Dortmund,2022-2023,34,22,5,7,83.0,2.088235294117647,1909
Bundesliga,BV Borussia 09 Dortmund,2023-2024,34,18,9,7,68.0,1.8529411764705883,1909
Bundesliga,BV Borussia 09 Dortmund,2024-2025,34,17,6,11,71.0,1.6764705882352942,1909
Bundesliga,Bayer 04 Leverkusen,2021-2022,34,19,7,8,80.0,1.8823529411764706,1904
Bundesliga,Bayer 04 Leverkusen,2022-2023,34,14,8,12,57.0,1.4705882352941178,1904
Bundesliga,Bayer 04 Leverkusen,2023-2024,34,28,6,0,89.0,2.6470588235294117,1904
Bundesliga,Bayer 04 Leverkusen,2024-2025,34,19,12,3,72.0,2.0294117647058822,1904
Bundesliga,Borussia Mönchengladbach,2021-2022,33,11,9,13,52.0,1.2727272727272727,1900
Bundesliga,Borussia Mönchengladbach,2022-2023,34,11,10,13,52.0,1.2647058823529411,1900
Bundesliga,Borussia Mönchengladbach,2023-2024,34,7,13,14,56.0,1.0,1900
Bundesliga,Borussia Mönchengladbach,2024-2025,34,13,6,15,55.0,1.3235294117647058,1900
Bundesliga,DSC Arminia Bielefeld,2021-2022,34,5,13,16,27.0,0.8235294117647058,1905
Bundesliga,Eintracht Frankfurt,2021-2022,34,10,12,12,45.0,1.2352941176470589,1899
Bundesliga,Eintracht Frankfurt,2022-2023,34,13,11,10,58.0,1.4705882352941178,1899
Bundesliga,Eintracht Frankfurt,2023-2024,34,11,14,9,51.0,1.3823529411764706,1899
Bundesliga,Eintracht Frankfurt,2024-2025,34,17,9,8,68.0,1.7647058823529411,1899
Bundesliga,FC Augsburg,2021-2022,34,10,8,16,39.0,1.1176470588235294,1907
Bundesliga,FC Augsburg,2022-2023,34,9,7,18,42.0,1.0,1907
Bundesliga,FC Augsburg,2023-2024,34,10,9,15,50.0,1.1470588235294117,1907
Bundesliga,FC Augsburg,2024-2025,34,11,10,13,35.0,1.2647058823529411,1907
Bundesliga,FC Bayern München,2021-2022,34,24,5,5,97.0,2.264705882352941,1900
Bundesliga,FC Bayern München,2022-2023,34,21,8,5,92.0,2.088235294117647,1900
Bundesliga,FC Bayern München,2023-2024,34,23,3,8,94.0,2.1176470588235294,1900
Bundesliga,FC Bayern München,2024-2025,34,25,7,2,99.0,2.411764705882353,1900
Bundesliga,FC Schalke 04,2022-2023,34,7,10,17,35.0,0.9117647058823529,1904
Bundesliga,FC St. Pauli 1910,2024-2025,34,8,8,18,28.0,0.9411764705882353,1910
Bundesliga,Holstein Kiel,2024-2025,34,6,7,21,49.0,0.7352941176470589,1900
Bundesliga,RB Leipzig,2021-2022,34,17,7,10,72.0,1.7058823529411764,2009
Bundesliga,RB Leipzig,2022-2023,34,20,6,8,64.0,1.9411764705882353,2009
Bundesliga,RB Leipzig,2023-2024,34,19,8,7,77.0,1.911764705882353,2009
Bundesliga,RB Leipzig,2024-2025,34,13,12,9,53.0,1.5,2009
Bundesliga,SC Freiburg,2021-2022,34,15,10,9,58.0,1.6176470588235294,1904
Bundesliga,SC Freiburg,2022-2023,34,17,8,9,51.0,1.7352941176470589,1904
Bundesliga,SC Freiburg,2023-2024,34,11,9,14,45.0,1.2352941176470589,1904
Bundesliga,SC Freiburg,2024-2025,34,16,7,11,49.0,1.6176470588235294,1904
Bundesliga,SV Darmstadt 98,2023-2024,34,3,8,23,30.0,0.5,1898
Bundesliga,SV Werder Bremen,2022-2023,34,10,6,18,51.0,1.0588235294117647,1899
Bundesliga,SV Werder Bremen,2023-2024,34,11,9,14,48.0,1.2352941176470589,1899
Bundesliga,SV Werder Bremen,2024-2025,34,14,9,11,54.0,1.5,1899
Bundesliga,SpVgg Greuther Fürth 1903,2021-2022,34,3,9,22,28.0,0.5294117647058824,
Bundesliga,TSG 1899 Hoffenheim,2021-2022,34,13,7,14,58.0,1.3529411764705883,1899
Bundesliga,TSG 1899 Hoffenheim,2022-2023,34,10,6,18,48.0,1.0588235294117647,1899
Bundesliga,TSG 1899 Hoffenheim,2023-2024,34,13,7,14,66.0,1.3529411764705883,1899
Bundesliga,TSG 1899 Hoffenheim,2024-2025,34,7,11,16,46.0,0.9411764705882353,1899
Bundesliga,VfB Stuttgart,2021-2022,34,7,12,15,41.0,0.9705882352941176,1893
Bundesliga,VfB Stuttgart,2022-2023,34,7,12,15,45.0,0.9705882352941176,1893
Bundesliga,VfB Stuttgart,2023-2024,34,23,4,7,78.0,2.1470588235294117,1893
Bundesliga,VfB Stuttgart,2024-2025,34,14,8,12,64.0,1.4705882352941178,1893
Bundesliga,VfL Bochum 1848,2021-2022,33,12,6,15,38.0,1.2727272727272727,
Bundesliga,VfL Bochum 1848,2022-2023,34,10,5,19,40.0,1.0294117647058822,
Bundesliga,VfL Bochum 1848,2023-2024,34,7,12,15,42.0,0.9705882352941176,
Bundesliga,VfL Bochum 1848,2024-2025,33,5,7,21,31.0,0.6666666666666666,
Bundesliga,VfL Wolfsburg,2021-2022,34,12,6,16,43.0,1.2352941176470589,1945
Bundesliga,VfL Wolfsburg,2022-2023,34,13,10,11,57.0,1.4411764705882353,1945
Bundesliga,VfL Wolfsburg,2023-2024,34,10,7,17,41.0,1.088235294117647,1945
Bundesliga,VfL Wolfsburg,2024-2025,34,11,10,13,56.0,1.2647058823529411,1945
La Liga,CA Osasuna,2021-2022,38,12,11,15,37.0,1.236842105263158,1920
La Liga,CA Osasuna,2022-2023,76,30,16,30,74.0,1.394736842105263,1920
La Liga,CA Osasuna,2023-2024,38,12,9,17,45.0,1.1842105263157894,1920
La Liga,CA Osasuna,2024-2025,76,24,32,20,96.0,1.368421052631579,1920
La Liga,CD Leganés,2024-2025,38,9,13,16,39.0,1.0526315789473684,1928
La Liga,Club Atlético de Madrid,2021-2022,76,42,16,18,130.0,1.868421052631579,1903
La Liga,Club Atlético de Madrid,2022-2023,76,46,16,14,140.0,2.026315789473684,1903
La Liga,Club Atlético de Madrid,2023-2024,76,48,8,20,140.0,2.0,1903
La Liga,Club Atlético de Madrid,2024-2025,76,44,20,12,136.0,2.0,1903
La Liga,Cádiz CF,2021-2022,38,8,15,15,35.0,1.0263157894736843,1910
La Liga,Cádiz CF,2022-2023,38,10,12,16,30.0,1.105263157894737,1910
La Liga,Cádiz CF,2023-2024,38,6,15,17,26.0,0.868421052631579,1910
La Liga,Deportivo Alavés,2021-2022,38,8,7,23,31.0,0.8157894736842105,1921
La Liga,Deportivo Alavés,2023-2024,38,12,10,16,36.0,1.2105263157894737,1921
La Liga,Deportivo Alavés,2024-2025,38,10,12,16,38.0,1.105263157894737,1921
La Liga,Elche CF,2021-2022,38,11,9,18,40.0,1.105263157894737,1923
La Liga,Elche CF,2022-2023,38,5,10,23,30.0,0.6578947368421053,1923
La Liga,FC Barcelona,2021-2022,38,21,10,7,68.0,1.9210526315789473,1899
La Liga,FC Barcelona,2022-2023,38,28,4,6,70.0,2.3157894736842106,1899
La Liga,FC Barcelona,2023-2024,38,26,7,5,79.0,2.236842105263158,1899
La Liga,FC Barcelona,2024-2025,38,28,4,6,102.0,2.3157894736842106,1899
La Liga,Getafe CF,2021-2022,38,8,15,15,33.0,1.0263157894736843,1983
La Liga,Getafe CF,2022-2023,38,10,12,16,34.0,1.105263157894737,1983
La Liga,Getafe CF,2023-2024,38,10,13,15,42.0,1.131578947368421,1983
La Liga,Getafe CF,2024-2025,38,11,9,18,34.0,1.105263157894737,1983
La Liga,Girona FC,2022-2023,38,13,10,15,58.0,1.2894736842105263,1930
La Liga,Girona FC,2023-2024,38,25,6,7,85.0,2.1315789473684212,1930
La Liga,Girona FC,2024-2025,38,11,8,19,44.0,1.0789473684210527,1930
La Liga,Granada CF,2021-2022,38,8,14,16,44.0,1.0,1931
La Liga,Granada CF,2023-2024,38,4,9,25,38.0,0.5526315789473685,1931
La Liga,Levante UD,2021-2022,38,8,11,19,51.0,0.9210526315789473,1909
La Liga,RC Celta de Vigo,2021-2022,38,12,10,16,43.0,1.2105263157894737,1923
La Liga,RC Celta de Vigo,2022-2023,38,11,10,17,43.0,1.131578947368421,1923
La Liga,RC Celta de Vigo,2023-2024,38,10,11,17,46.0,1.0789473684210527,1923
La Liga,RC Celta de Vigo,2024-2025,38,16,7,15,59.0,1.4473684210526316,1923
La Liga,RCD Espanyol de Barcelona,2021-2022,38,10,12,16,40.0,1.105263157894737,1900
La Liga,RCD Espanyol de Barcelona,2022-2023,38,8,13,17,52.0,0.9736842105263158,1900
La Liga,RCD Espanyol de Barcelona,2024-2025,38,11,9,18,40.0,1.105263157894737,1900
La Liga,RCD Mallorca,2021-2022,38,10,9,19,36.0,1.0263157894736843,1916
La Liga,RCD Mallorca,2022-2023,38,14,8,16,37.0,1.3157894736842106,1916
La Liga,RCD Mallorca,2023-2024,38,8,16,14,33.0,1.0526315789473684,1916
La Liga,RCD Mallorca,2024-2025,38,13,9,16,35.0,1.263157894736842,1916
La Liga,Rayo Vallecano de Madrid,2021-2022,38,11,9,18,39.0,1.105263157894737,1924
La Liga,Rayo Vallecano de Madrid,2022-2023,38,13,10,15,45.0,1.2894736842105263,1924
La Liga,Rayo Vallecano de Madrid,2023-2024,38,8,14,16,29.0,1.0,1924
La Liga,Rayo Vallecano de Madrid,2024-2025,38,13,13,12,41.0,1.368421052631579,1924
La Liga,Real Betis Balompié,2021-2022,38,19,8,11,62.0,1.7105263157894737,1907
La Liga,Real Betis Balompié,2022-2023,38,17,9,12,46.0,1.5789473684210527,1907
La Liga,Real Betis Balompié,2023-2024,38,14,15,9,48.0,1.5,1907
La Liga,Real Betis Balompié,2024-2025,38,16,12,10,57.0,1.5789473684210527,1907
La Liga,Real Madrid CF,2021-2022,38,26,8,4,80.0,2.263157894736842,1902
La Liga,Real Madrid CF,2022-2023,38,24,6,8,75.0,2.0526315789473686,1902
La Liga,Real Madrid CF,2023-2024,38,29,8,1,87.0,2.5,1902
La Liga,Real Madrid CF,2024-2025,38,26,6,6,78.0,2.210526315789474,1902
La Liga,Real Sociedad de Fútbol,2021-2022,38,17,11,10,40.0,1.631578947368421,1909
La Liga,Real Sociedad de Fútbol,2022-2023,38,21,8,9,51.0,1.868421052631579,1909
La Liga,Real Sociedad de Fútbol,2023-2024,38,16,12,10,51.0,1.5789473684210527,1909
La Liga,Real Sociedad de Fútbol,2024-2025,38,13,7,18,35.0,1.2105263157894737,1909
La Liga,Real Valladolid CF,2022-2023,38,11,7,20,33.0,1.0526315789473684,1928
La Liga,Real Valladolid CF,2024-2025,38,4,4,30,26.0,0.42105263157894735,1928
La Liga,Sevilla FC,2021-2022,38,18,16,4,53.0,1.8421052631578947,1905
La Liga,Sevilla FC,2022-2023,38,13,10,15,47.0,1.2894736842105263,1905
La Liga,Sevilla FC,2023-2024,38,10,11,17,48.0,1.0789473684210527,1905
La Liga,Sevilla FC,2024-2025,38,10,11,17,42.0,1.0789473684210527,1905
La Liga,UD Almería,2022-2023,38,11,8,19,49.0,1.0789473684210527,1989
La Liga,UD Almería,2023-2024,38,3,12,23,43.0,0.5526315789473685,1989
La Liga,UD Las Palmas,2023-2024,38,10,10,18,33.0,1.0526315789473684,1949
La Liga,UD Las Palmas,2024-2025,38,8,8,22,40.0,0.8421052631578947,1949
La Liga,Valencia CF,2021-2022,38,11,15,12,48.0,1.263157894736842,1919
La Liga,Valencia CF,2022-2023,38,11,9,18,42.0,1.105263157894737,1919
La Liga,Valencia CF,2023-2024,38,13,10,15,40.0,1.2894736842105263,1919
La Liga,Valencia CF,2024-2025,38,11,13,14,44.0,1.2105263157894737,1919
La Liga,Villarreal CF,2021-2022,38,16,11,11,63.0,1.5526315789473684,1923
La Liga,Villarreal CF,2022-2023,38,19,7,12,59.0,1.6842105263157894,1923
La Liga,Villarreal CF,2023-2024,38,14,11,13,65.0,1.394736842105263,1923
La Liga,Villarreal CF,2024-2025,38,20,10,8,71.0,1.8421052631578947,1923
Liga Portugal,AVS Futebol,2024-2025,34,5,12,17,25.0,0.7941176470588235,2023
Liga Portugal,Boavista FC,2021-2022,34,7,17,10,39.0,1.1176470588235294,1903
Liga Portugal,Boavista FC,2022-2023,68,24,16,28,86.0,1.2941176470588236,1903
Liga Portugal,Boavista FC,2023-2024,68,14,22,32,78.0,0.9411764705882353,1903
Liga Portugal,Boavista FC,2024-2025,34,6,6,22,24.0,0.7058823529411765,1903
Liga Portugal,CD Nacional,2024-2025,34,9,7,18,32.0,1.0,1910
Liga Portugal,CD Santa Clara,2021-2022,34,9,13,12,38.0,1.1764705882352942,1921
Liga Portugal,CD Santa Clara,2022-2023,34,5,7,22,26.0,0.6470588235294118,1921
Liga Portugal,CD Santa Clara,2024-2025,34,17,6,11,36.0,1.6764705882352942,1921
Liga Portugal,CD Tondela,2021-2022,68,14,14,40,82.0,0.8235294117647058,1933
Liga Portugal,CF Estrela da Amadora,2023-2024,34,7,12,15,33.0,0.9705882352941176,2020
Liga Portugal,CF Estrela da Amadora,2024-2025,34,7,8,19,24.0,0.8529411764705882,2020
Liga Portugal,CS Marítimo,2021-2022,34,9,11,14,39.0,1.1176470588235294,1910
Liga Portugal,CS Marítimo,2022-2023,34,7,5,22,32.0,0.7647058823529411,1910
Liga Portugal,Casa Pia AC,2022-2023,34,11,8,15,31.0,1.2058823529411764,1920
Liga Portugal,Casa Pia AC,2023-2024,34,10,8,16,38.0,1.1176470588235294,1920
Liga Portugal,Casa Pia AC,2024-2025,34,12,9,13,39.0,1.3235294117647058,1920
Liga Portugal,Estoril Praia,2021-2022,34,9,12,13,36.0,1.1470588235294117,1939
Liga Portugal,Estoril Praia,2022-2023,34,10,5,19,33.0,1.0294117647058822,1939
Liga Portugal,Estoril Praia,2023-2024,34,9,6,19,49.0,0.9705882352941176,1939
Liga Portugal,Estoril Praia,2024-2025,34,12,10,12,48.0,1.3529411764705883,1939
Liga Portugal,FC Arouca,2021-2022,34,7,10,17,30.0,0.9117647058823529,1951
Liga Portugal,FC Arouca,2022-2023,34,15,9,10,36.0,1.588235294117647,1951
Liga Portugal,FC Arouca,2023-2024,34,13,7,14,54.0,1.3529411764705883,1951
Liga Portugal,FC Arouca,2024-2025,34,9,11,14,35.0,1.1176470588235294,1951
Liga Portugal,FC Famalicão,2021-2022,34,9,12,13,45.0,1.1470588235294117,1931
Liga Portugal,FC Famalicão,2022-2023,34,13,5,16,39.0,1.2941176470588236,1931
Liga Portugal,FC Famalicão,2023-2024,34,10,12,12,37.0,1.2352941176470589,1931
Liga Portugal,FC Famalicão,2024-2025,34,12,11,11,44.0,1.3823529411764706,1931
Liga Portugal,FC Paços de Ferreira,2021-2022,34,9,11,14,29.0,1.1176470588235294,1950
Liga Portugal,FC Paços de Ferreira,2022-2023,34,6,5,23,26.0,0.6764705882352942,1950
Liga Portugal,FC Porto,2021-2022,34,29,4,1,86.0,2.676470588235294,1893
Liga Portugal,FC Porto,2022-2023,34,27,4,3,73.0,2.5,1893
Liga Portugal,FC Porto,2023-2024,34,22,6,6,63.0,2.1176470588235294,1893
Liga Portugal,FC Porto,2024-2025,34,22,5,7,65.0,2.088235294117647,1893
Liga Portugal,FC Vizela,2021-2022,34,7,12,15,37.0,0.9705882352941176,1939
Liga Portugal,FC Vizela,2022-2023,34,11,7,16,34.0,1.1764705882352942,1939
Liga Portugal,FC Vizela,2023-2024,34,5,11,18,36.0,0.7647058823529411,1939
Liga Portugal,GD Chaves,2023-2024,34,5,8,21,31.0,0.6764705882352942,1949
Liga Portugal,Gil Vicente FC,2021-2022,34,13,12,9,47.0,1.5,1924
Liga Portugal,Gil Vicente FC,2022-2023,34,10,7,17,32.0,1.088235294117647,1924
Liga Portugal,Gil Vicente FC,2023-2024,34,9,9,16,42.0,1.0588235294117647,1924
Liga Portugal,Gil Vicente FC,2024-2025,34,8,10,16,34.0,1.0,1924
Liga Portugal,Moreirense FC,2021-2022,34,7,8,19,33.0,0.8529411764705882,1938
Liga Portugal,Moreirense FC,2023-2024,34,16,7,11,36.0,1.6176470588235294,1938
Liga Portugal,Moreirense FC,2024-2025,34,10,10,14,42.0,1.1764705882352942,1938
Liga Portugal,Portimonense SC,2021-2022,68,20,16,32,62.0,1.1176470588235294,1914
Liga Portugal,Portimonense SC,2022-2023,34,10,4,20,25.0,1.0,1914
Liga Portugal,Portimonense SC,2023-2024,34,8,8,18,39.0,0.9411764705882353,1914
Liga Portugal,Rio Ave FC,2022-2023,34,10,10,14,36.0,1.1764705882352942,1939
Liga Portugal,Rio Ave FC,2023-2024,34,6,19,9,38.0,1.088235294117647,1939
Liga Portugal,Rio Ave FC,2024-2025,34,9,11,14,39.0,1.1176470588235294,1939
Liga Portugal,SC Braga,2021-2022,34,19,8,7,52.0,1.911764705882353,1921
Liga Portugal,SC Braga,2022-2023,34,25,3,6,75.0,2.2941176470588234,1921
Liga Portugal,SC Braga,2023-2024,34,21,5,8,71.0,2.0,1921
Liga Portugal,SC Braga,2024-2025,34,19,9,6,55.0,1.9411764705882353,1921
Liga Portugal,SC Farense,2023-2024,34,10,7,17,46.0,1.088235294117647,1910
Liga Portugal,SC Farense,2024-2025,34,6,9,19,25.0,0.7941176470588235,1910
Liga Portugal,Sport Lisboa e Benfica,2021-2022,34,23,5,6,78.0,2.176470588235294,1904
Liga Portugal,Sport Lisboa e Benfica,2022-2023,34,28,3,3,82.0,2.5588235294117645,1904
Liga Portugal,Sport Lisboa e Benfica,2023-2024,34,25,5,4,77.0,2.3529411764705883,1904
Liga Portugal,Sport Lisboa e Benfica,2024-2025,34,25,5,4,84.0,2.3529411764705883,1904
Liga Portugal,Sporting CP,2021-2022,34,27,4,3,73.0,2.5,1906
Liga Portugal,Sporting CP,2022-2023,34,23,5,6,71.0,2.176470588235294,1906
Liga Portugal,Sporting CP,2023-2024,34,29,3,2,96.0,2.6470588235294117,1906
Liga Portugal,Sporting CP,2024-2025,34,25,7,2,88.0,2.411764705882353,1906
Liga Portugal,Vitória SC,2021-2022,34,13,9,12,50.0,1.411764705882353,1922
Liga Portugal,Vitória SC,2022-2023,34,16,5,13,34.0,1.5588235294117647,1922
Liga Portugal,Vitória SC,2023-2024,34,19,6,9,52.0,1.8529411764705883,1922
Liga Portugal,Vitória SC,2024-2025,34,14,12,8,47.0,1.588235294117647,1922
Ligue 1,AC Ajaccio,2022-2023,38,7,5,26,23.0,0.6842105263157895,1910
Ligue 1,AS Monaco FC,2021-2022,38,20,9,9,65.0,1.8157894736842106,1924
Ligue 1,AS Monaco FC,2022-2023,38,19,8,11,70.0,1.7105263157894737,1924
Ligue 1,AS Monaco FC,2023-2024,34,20,7,7,68.0,1.9705882352941178,1924
Ligue 1,AS Monaco FC,2024-2025,34,18,7,9,63.0,1.7941176470588236,1924
