league,team,season,games,wins,draws,losses,pts_total,avg_res_for_game,League,Team,players_amount,avg_age,foreign_players_amount,team_cost_dif,total_cost,year_of_foundation
Bundesliga,BV Borussia 09 Dortmund,2021-2022,34,22,3,9,85.0,2.0294117647058822,Bundesliga,BV Borussia 09 Dortmund,44.0,24.5,25.0,12700000.0,558980000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2022-2023,34,22,5,7,83.0,2.088235294117647,Bundesliga,BV Borussia 09 Dortmund,37.0,25.1,19.0,15340000.0,567550000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2023-2024,34,18,9,7,68.0,1.8529411764705883,Bundesliga,BV Borussia 09 Dortmund,36.0,25.6,17.0,13740000.0,494800000.0,1909
Bundesliga,BV Borussia 09 Dortmund,2024-2025,34,17,6,11,71.0,1.6764705882352942,Bundesliga,BV Borussia 09 Dortmund,43.0,24.1,23.0,11820000.0,508280000.0,1909
Bundesliga,Bayer 04 Leverkusen,2021-2022,34,19,7,8,80.0,1.8823529411764703,Bundesliga,Bayer 04 Leverkusen,35.0,25.1,25.0,13000000.0,455050000.0,1904
Bundesliga,Bayer 04 Leverkusen,2022-2023,34,14,8,12,57.0,1.4705882352941178,Bundesliga,Bayer 04 Leverkusen,35.0,24.8,25.0,12930000.0,452500000.0,1904
Bundesliga,Bayer 04 Leverkusen,2023-2024,34,28,6,0,89.0,2.6470588235294117,Bundesliga,Bayer 04 Leverkusen,32.0,24.9,23.0,20570000.0,658350000.0,1904
Bundesliga,Bayer 04 Leverkusen,2024-2025,34,19,12,3,72.0,2.0294117647058822,Bundesliga,Bayer 04 Leverkusen,34.0,25.1,25.0,18330000.0,623350000.0,1904
Bundesliga,Borussia Mönchengladbach,2021-2022,33,11,9,13,52.0,1.2727272727272727,Bundesliga,Borussia Mönchengladbach,31.0,25.8,14.0,7640000.0,236800000.0,1900
Bundesliga,Borussia Mönchengladbach,2022-2023,34,11,10,13,52.0,1.2647058823529411,Bundesliga,Borussia Mönchengladbach,35.0,25.9,16.0,6910000.0,241680000.0,1900
Bundesliga,Borussia Mönchengladbach,2023-2024,34,7,13,14,56.0,1.0,Bundesliga,Borussia Mönchengladbach,33.0,26.0,18.0,5010000.0,165230000.0,1900
Bundesliga,Borussia Mönchengladbach,2024-2025,34,13,6,15,55.0,1.3235294117647058,Bundesliga,Borussia Mönchengladbach,31.0,25.7,17.0,6050000.0,187500000.0,1900
Bundesliga,DSC Arminia Bielefeld,2021-2022,34,5,13,16,27.0,0.8235294117647058,Bundesliga,DSC Arminia Bielefeld,34.0,25.1,20.0,1940000.0,65850000.0,1905
Bundesliga,Eintracht Frankfurt,2021-2022,34,10,12,12,45.0,1.2352941176470589,Bundesliga,Eintracht Frankfurt,36.0,25.7,23.0,6350000.0,228750000.0,1899
Bundesliga,Eintracht Frankfurt,2022-2023,34,13,11,10,58.0,1.4705882352941178,Bundesliga,Eintracht Frankfurt,36.0,25.6,22.0,9020000.0,324550000.0,1899
Bundesliga,Eintracht Frankfurt,2023-2024,34,11,14,9,51.0,1.3823529411764706,Bundesliga,Eintracht Frankfurt,46.0,24.7,28.0,7100000.0,326650000.0,1899
Bundesliga,Eintracht Frankfurt,2024-2025,34,17,9,8,68.0,1.7647058823529411,Bundesliga,Eintracht Frankfurt,33.0,24.6,24.0,13070000.0,431250000.0,1899
Bundesliga,FC Augsburg,2021-2022,34,10,8,16,39.0,1.1176470588235294,Bundesliga,FC Augsburg,32.0,26.0,20.0,2980000.0,95300000.0,1907
Bundesliga,FC Augsburg,2022-2023,34,9,7,18,42.0,1.0,Bundesliga,FC Augsburg,42.0,25.6,25.0,3150000.0,132230000.0,1907
Bundesliga,FC Augsburg,2023-2024,34,10,9,15,50.0,1.1470588235294117,Bundesliga,FC Augsburg,38.0,25.6,24.0,3710000.0,140800000.0,1907
Bundesliga,FC Augsburg,2024-2025,34,11,10,13,35.0,1.2647058823529411,Bundesliga,FC Augsburg,36.0,26.0,20.0,4410000.0,158880000.0,1907
Bundesliga,FC Bayern München,2021-2022,34,24,5,5,97.0,2.264705882352941,Bundesliga,FC Bayern München,38.0,25.2,20.0,20800000.0,790330000.0,1900
Bundesliga,FC Bayern München,2022-2023,34,21,8,5,92.0,2.088235294117647,Bundesliga,FC Bayern München,35.0,25.7,22.0,27110000.0,948950000.0,1900
Bundesliga,FC Bayern München,2023-2024,34,23,3,8,94.0,2.1176470588235294,Bundesliga,FC Bayern München,39.0,25.2,23.0,24750000.0,965150000.0,1900
Bundesliga,FC Bayern München,2024-2025,34,25,7,2,99.0,2.411764705882353,Bundesliga,FC Bayern München,43.0,24.6,22.0,22180000.0,953550000.0,1900
Bundesliga,FC Schalke 04,2022-2023,34,7,10,17,35.0,0.9117647058823528,Bundesliga,FC Schalke 04,43.0,26.9,22.0,2040000.0,87780000.0,1904
Bundesliga,FC St. Pauli 1910,2024-2025,34,8,8,18,28.0,0.9411764705882352,Bundesliga,FC St. Pauli 1910,38.0,26.5,21.0,1730000.0,65780000.0,1910
Bundesliga,Holstein Kiel,2024-2025,34,6,7,21,49.0,0.7352941176470589,Bundesliga,Holstein Kiel,30.0,26.6,12.0,1570000.0,47130000.0,1900
Bundesliga,RB Leipzig,2021-2022,34,17,7,10,72.0,1.7058823529411764,Bundesliga,RB Leipzig,34.0,24.3,23.0,14680000.0,498950000.0,2009
Bundesliga,RB Leipzig,2022-2023,34,20,6,8,64.0,1.9411764705882353,Bundesliga,RB Leipzig,29.0,26.0,19.0,16770000.0,486400000.0,2009
Bundesliga,RB Leipzig,2023-2024,34,19,8,7,77.0,1.911764705882353,Bundesliga,RB Leipzig,32.0,25.2,22.0,17040000.0,545400000.0,2009
Bundesliga,RB Leipzig,2024-2025,34,13,12,9,53.0,1.5,Bundesliga,RB Leipzig,37.0,23.9,23.0,13880000.0,513700000.0,2009
Bundesliga,SC Freiburg,2021-2022,34,15,10,9,58.0,1.6176470588235294,Bundesliga,SC Freiburg,32.0,25.5,12.0,5510000.0,176350000.0,1904
Bundesliga,SC Freiburg,2022-2023,34,17,8,9,51.0,1.7352941176470589,Bundesliga,SC Freiburg,29.0,26.5,11.0,6930000.0,200950000.0,1904
Bundesliga,SC Freiburg,2023-2024,34,11,9,14,45.0,1.2352941176470589,Bundesliga,SC Freiburg,34.0,26.3,13.0,5300000.0,180350000.0,1904
Bundesliga,SC Freiburg,2024-2025,34,16,7,11,49.0,1.6176470588235294,Bundesliga,SC Freiburg,31.0,27.2,13.0,6010000.0,186200000.0,1904
Bundesliga,SV Darmstadt 98,2023-2024,34,3,8,23,30.0,0.5,Bundesliga,SV Darmstadt 98,34.0,27.0,14.0,1140000.0,38700000.0,1898
Bundesliga,SV Werder Bremen,2022-2023,34,10,6,18,51.0,1.0588235294117647,Bundesliga,SV Werder Bremen,33.0,25.2,12.0,2710000.0,89500000.0,1899
Bundesliga,SV Werder Bremen,2023-2024,34,11,9,14,48.0,1.2352941176470589,Bundesliga,SV Werder Bremen,35.0,26.4,19.0,3860000.0,134930000.0,1899
Bundesliga,SV Werder Bremen,2024-2025,34,14,9,11,54.0,1.5,Bundesliga,SV Werder Bremen,33.0,25.9,17.0,4000000.0,132000000.0,1899
Bundesliga,SpVgg Greuther Fürth 1903,2021-2022,34,3,9,22,28.0,0.5294117647058824,Bundesliga,SpVgg Greuther Fürth 1903,34.0,25.1,16.0,1090000.0,36950000.0,Nan
Bundesliga,TSG 1899 Hoffenheim,2021-2022,34,13,7,14,58.0,1.3529411764705883,Bundesliga,TSG 1899 Hoffenheim,40.0,25.3,22.0,5290000.0,211430000.0,1899
Bundesliga,TSG 1899 Hoffenheim,2022-2023,34,10,6,18,48.0,1.0588235294117647,Bundesliga,TSG 1899 Hoffenheim,37.0,26.2,22.0,4830000.0,178800000.0,1899
Bundesliga,TSG 1899 Hoffenheim,2023-2024,34,13,7,14,66.0,1.3529411764705883,Bundesliga,TSG 1899 Hoffenheim,34.0,26.1,14.0,5180000.0,176000000.0,1899
Bundesliga,TSG 1899 Hoffenheim,2024-2025,34,7,11,16,46.0,0.9411764705882352,Bundesliga,TSG 1899 Hoffenheim,48.0,25.1,27.0,3900000.0,187100000.0,1899
Bundesliga,VfB Stuttgart,2021-2022,34,7,12,15,41.0,0.9705882352941176,Bundesliga,VfB Stuttgart,39.0,24.0,23.0,4470000.0,174230000.0,1893
Bundesliga,VfB Stuttgart,2022-2023,34,7,12,15,45.0,0.9705882352941176,Bundesliga,VfB Stuttgart,39.0,23.7,23.0,3870000.0,151050000.0,1893
Bundesliga,VfB Stuttgart,2023-2024,34,23,4,7,78.0,2.1470588235294117,Bundesliga,VfB Stuttgart,38.0,24.4,19.0,9120000.0,346630000.0,1893
Bundesliga,VfB Stuttgart,2024-2025,34,14,8,12,64.0,1.4705882352941178,Bundesliga,VfB Stuttgart,39.0,24.2,18.0,9360000.0,365230000.0,1893
Bundesliga,VfL Bochum 1848,2021-2022,33,12,6,15,38.0,1.2727272727272727,Bundesliga,VfL Bochum 1848,33.0,27.7,17.0,1580000.0,52250000.0,Nan
Bundesliga,VfL Bochum 1848,2022-2023,34,10,5,19,40.0,1.0294117647058822,Bundesliga,VfL Bochum 1848,32.0,28.3,18.0,1680000.0,53700000.0,Nan
Bundesliga,VfL Bochum 1848,2023-2024,34,7,12,15,42.0,0.9705882352941176,Bundesliga,VfL Bochum 1848,34.0,28.3,15.0,1900000.0,64530000.0,Nan
Bundesliga,VfL Bochum 1848,2024-2025,33,5,7,21,31.0,0.6666666666666666,Bundesliga,VfL Bochum 1848,33.0,27.0,16.0,1730000.0,57100000.0,Nan
Bundesliga,VfL Wolfsburg,2021-2022,34,12,6,16,43.0,1.2352941176470589,Bundesliga,VfL Wolfsburg,37.0,25.7,24.0,7280000.0,269300000.0,1945
Bundesliga,VfL Wolfsburg,2022-2023,34,13,10,11,57.0,1.4411764705882353,Bundesliga,VfL Wolfsburg,33.0,25.1,20.0,7220000.0,238300000.0,1945
Bundesliga,VfL Wolfsburg,2023-2024,34,10,7,17,41.0,1.088235294117647,Bundesliga,VfL Wolfsburg,33.0,25.0,20.0,6260000.0,206450000.0,1945
Bundesliga,VfL Wolfsburg,2024-2025,34,11,10,13,56.0,1.2647058823529411,Bundesliga,VfL Wolfsburg,39.0,25.5,25.0,7600000.0,296300000.0,1945
La Liga,CA Osasuna,2021-2022,38,12,11,15,37.0,1.236842105263158,La Liga,CA Osasuna,32.0,27.4,3.0,3390000.0,108450000.0,1920
La Liga,CA Osasuna,2022-2023,76,30,16,30,74.0,1.394736842105263,La Liga,CA Osasuna,31.0,27.2,4.0,4840000.0,150050000.0,1920
La Liga,CA Osasuna,2023-2024,38,12,9,17,45.0,1.1842105263157894,La Liga,CA Osasuna,32.0,27.2,5.0,3290000.0,105350000.0,1920
La Liga,CA Osasuna,2024-2025,76,24,32,20,96.0,1.368421052631579,La Liga,CA Osasuna,34.0,26.7,4.0,3330000.0,113280000.0,1920
La Liga,CD Leganés,2024-2025,38,9,13,16,39.0,1.0526315789473684,La Liga,CD Leganés,40.0,26.1,16.0,1200000.0,47980000.0,1928
La Liga,Club Atlético de Madrid,2021-2022,76,42,16,18,130.0,1.868421052631579,La Liga,Club Atlético de Madrid,43.0,25.7,24.0,15390000.0,661800000.0,1903
La Liga,Club Atlético de Madrid,2021-2022,76,42,16,18,130.0,1.868421052631579,La Liga,Club Atlético de Madrid,31.0,26.2,1.0,7290000.0,226050000.0,1903
La Liga,Club Atlético de Madrid,2022-2023,76,46,16,14,140.0,2.026315789473684,La Liga,Club Atlético de Madrid,40.0,25.8,22.0,13360000.0,534300000.0,1903
La Liga,Club Atlético de Madrid,2022-2023,76,46,16,14,140.0,2.026315789473684,La Liga,Club Atlético de Madrid,31.0,27.1,1.0,7180000.0,222450000.0,1903
La Liga,Club Atlético de Madrid,2023-2024,76,48,8,20,140.0,2.0,La Liga,Club Atlético de Madrid,42.0,26.9,23.0,10920000.0,458450000.0,1903
La Liga,Club Atlético de Madrid,2023-2024,76,48,8,20,140.0,2.0,La Liga,Club Atlético de Madrid,31.0,27.0,2.0,9540000.0,295650000.0,1903
La Liga,Club Atlético de Madrid,2024-2025,76,44,20,12,136.0,2.0,La Liga,Club Atlético de Madrid,41.0,26.5,22.0,13230000.0,542500000.0,1903
La Liga,Club Atlético de Madrid,2024-2025,76,44,20,12,136.0,2.0,La Liga,Club Atlético de Madrid,37.0,26.1,4.0,10140000.0,375350000.0,1903
La Liga,Cádiz CF,2021-2022,38,8,15,15,35.0,1.0263157894736843,La Liga,Cádiz CF,37.0,27.7,14.0,1830000.0,67800000.0,1910
La Liga,Cádiz CF,2022-2023,38,10,12,16,30.0,1.105263157894737,La Liga,Cádiz CF,47.0,27.3,17.0,1400000.0,65600000.0,1910
La Liga,Cádiz CF,2023-2024,38,6,15,17,26.0,0.868421052631579,La Liga,Cádiz CF,44.0,27.0,15.0,1380000.0,60700000.0,1910
La Liga,Deportivo Alavés,2021-2022,38,8,7,23,31.0,0.8157894736842105,La Liga,Deportivo Alavés,43.0,25.6,16.0,1520000.0,65350000.0,1921
La Liga,Deportivo Alavés,2023-2024,38,12,10,16,36.0,1.2105263157894737,La Liga,Deportivo Alavés,41.0,24.5,16.0,3020000.0,123700000.0,1921
La Liga,Deportivo Alavés,2024-2025,38,10,12,16,38.0,1.105263157894737,La Liga,Deportivo Alavés,37.0,25.8,15.0,2500000.0,92350000.0,1921
La Liga,Elche CF,2021-2022,38,11,9,18,40.0,1.105263157894737,La Liga,Elche CF,37.0,27.9,14.0,1970000.0,72980000.0,1923
La Liga,Elche CF,2022-2023,38,5,10,23,30.0,0.6578947368421053,La Liga,Elche CF,40.0,27.0,17.0,1690000.0,67500000.0,1923
La Liga,FC Barcelona,2021-2022,38,21,10,7,68.0,1.9210526315789471,La Liga,FC Barcelona,47.0,25.5,24.0,15650000.0,735600000.0,1899
La Liga,FC Barcelona,2022-2023,38,28,4,6,70.0,2.3157894736842106,La Liga,FC Barcelona,41.0,24.4,14.0,20410000.0,836800000.0,1899
La Liga,FC Barcelona,2023-2024,38,26,7,5,79.0,2.236842105263158,La Liga,FC Barcelona,38.0,24.0,15.0,24110000.0,916200000.0,1899
La Liga,FC Barcelona,2024-2025,38,28,4,6,102.0,2.3157894736842106,La Liga,FC Barcelona,39.0,23.3,11.0,27760000.0,1080000000.0,1899
La Liga,Getafe CF,2021-2022,38,8,15,15,33.0,1.0263157894736843,La Liga,Getafe CF,43.0,25.7,17.0,4850000.0,208680000.0,1983
La Liga,Getafe CF,2022-2023,38,10,12,16,34.0,1.105263157894737,La Liga,Getafe CF,34.0,26.5,14.0,3500000.0,118900000.0,1983
La Liga,Getafe CF,2023-2024,38,10,13,15,42.0,1.131578947368421,La Liga,Getafe CF,40.0,25.7,18.0,3330000.0,133000000.0,1983
La Liga,Getafe CF,2024-2025,38,11,9,18,34.0,1.105263157894737,La Liga,Getafe CF,37.0,25.4,15.0,2370000.0,87700000.0,1983
La Liga,Girona FC,2022-2023,38,13,10,15,58.0,1.2894736842105263,La Liga,Girona FC,37.0,25.6,13.0,3780000.0,139900000.0,1930
La Liga,Girona FC,2023-2024,38,25,6,7,85.0,2.1315789473684212,La Liga,Girona FC,37.0,25.6,15.0,8050000.0,297900000.0,1930
La Liga,Girona FC,2024-2025,38,11,8,19,44.0,1.0789473684210529,La Liga,Girona FC,46.0,25.1,22.0,3330000.0,153100000.0,1930
La Liga,Granada CF,2021-2022,38,8,14,16,44.0,1.0,La Liga,Granada CF,39.0,26.9,16.0,2660000.0,103750000.0,1931
La Liga,Granada CF,2023-2024,38,4,9,25,38.0,0.5526315789473685,La Liga,Granada CF,46.0,26.4,18.0,3070000.0,141100000.0,1931
La Liga,Levante UD,2021-2022,38,8,11,19,51.0,0.9210526315789472,La Liga,Levante UD,42.0,26.8,12.0,1850000.0,77900000.0,1909
La Liga,RC Celta de Vigo,2021-2022,38,12,10,16,43.0,1.2105263157894737,La Liga,RC Celta de Vigo,34.0,26.0,11.0,3530000.0,120000000.0,1923
La Liga,RC Celta de Vigo,2022-2023,38,11,10,17,43.0,1.131578947368421,La Liga,RC Celta de Vigo,36.0,25.7,12.0,3860000.0,138800000.0,1923
La Liga,RC Celta de Vigo,2023-2024,38,10,11,17,46.0,1.0789473684210529,La Liga,RC Celta de Vigo,39.0,25.9,14.0,3830000.0,149300000.0,1923
La Liga,RC Celta de Vigo,2024-2025,38,16,7,15,59.0,1.4473684210526316,La Liga,RC Celta de Vigo,36.0,26.3,12.0,3640000.0,130900000.0,1923
La Liga,RCD Espanyol de Barcelona,2021-2022,38,10,12,16,40.0,1.105263157894737,La Liga,RCD Espanyol de Barcelona,38.0,25.9,7.0,3460000.0,131600000.0,1900
La Liga,RCD Espanyol de Barcelona,2022-2023,38,8,13,17,52.0,0.9736842105263158,La Liga,RCD Espanyol de Barcelona,37.0,25.9,11.0,3150000.0,116500000.0,1900
La Liga,RCD Espanyol de Barcelona,2024-2025,38,11,9,18,40.0,1.105263157894737,La Liga,RCD Espanyol de Barcelona,37.0,25.6,10.0,3160000.0,116980000.0,1900
La Liga,RCD Mallorca,2021-2022,38,10,9,19,36.0,1.0263157894736843,La Liga,RCD Mallorca,41.0,26.2,16.0,1810000.0,74150000.0,1916
La Liga,RCD Mallorca,2022-2023,38,14,8,16,37.0,1.3157894736842106,La Liga,RCD Mallorca,38.0,26.9,19.0,2820000.0,107000000.0,1916
La Liga,RCD Mallorca,2023-2024,38,8,16,14,33.0,1.0526315789473684,La Liga,RCD Mallorca,35.0,26.9,14.0,2510000.0,87700000.0,1916
La Liga,RCD Mallorca,2024-2025,38,13,9,16,35.0,1.263157894736842,La Liga,RCD Mallorca,31.0,27.6,13.0,2740000.0,84880000.0,1916
La Liga,Rayo Vallecano de Madrid,2021-2022,38,11,9,18,39.0,1.105263157894737,La Liga,Rayo Vallecano de Madrid,36.0,26.7,14.0,1870000.0,67200000.0,1924
La Liga,Rayo Vallecano de Madrid,2022-2023,38,13,10,15,45.0,1.2894736842105263,La Liga,Rayo Vallecano de Madrid,29.0,28.7,10.0,3570000.0,103400000.0,1924
La Liga,Rayo Vallecano de Madrid,2023-2024,38,8,14,16,29.0,1.0,La Liga,Rayo Vallecano de Madrid,30.0,28.9,12.0,2130000.0,63950000.0,1924
La Liga,Rayo Vallecano de Madrid,2024-2025,38,13,13,12,41.0,1.368421052631579,La Liga,Rayo Vallecano de Madrid,34.0,28.3,11.0,2000000.0,68000000.0,1924
La Liga,Real Betis Balompié,2021-2022,38,19,8,11,62.0,1.7105263157894737,La Liga,Real Betis Balompié,38.0,27.9,13.0,6820000.0,259000000.0,1907
La Liga,Real Betis Balompié,2022-2023,38,17,9,12,46.0,1.5789473684210529,La Liga,Real Betis Balompié,38.0,27.6,13.0,6480000.0,246400000.0,1907
La Liga,Real Betis Balompié,2023-2024,38,14,15,9,48.0,1.5,La Liga,Real Betis Balompié,42.0,27.0,22.0,5350000.0,224880000.0,1907
La Liga,Real Betis Balompié,2024-2025,38,16,12,10,57.0,1.5789473684210529,La Liga,Real Betis Balompié,46.0,26.0,19.0,6340000.0,291700000.0,1907
La Liga,Real Madrid CF,2021-2022,38,26,8,4,80.0,2.263157894736842,La Liga,Real Madrid CF,36.0,26.3,19.0,21410000.0,770750000.0,1902
La Liga,Real Madrid CF,2022-2023,38,24,6,8,75.0,2.0526315789473686,La Liga,Real Madrid CF,36.0,25.9,20.0,25650000.0,923450000.0,1902
La Liga,Real Madrid CF,2023-2024,38,29,8,1,87.0,2.5,La Liga,Real Madrid CF,37.0,25.6,21.0,30680000.0,1140000000.0,1902
La Liga,Real Madrid CF,2024-2025,38,26,6,6,78.0,2.210526315789474,La Liga,Real Madrid CF,42.0,24.4,19.0,32110000.0,1350000000.0,1902
La Liga,Real Sociedad de Fútbol,2021-2022,38,17,11,10,40.0,1.631578947368421,La Liga,Real Sociedad de Fútbol,40.0,25.2,7.0,9420000.0,376950000.0,1909
La Liga,Real Sociedad de Fútbol,2022-2023,38,21,8,9,51.0,1.868421052631579,La Liga,Real Sociedad de Fútbol,37.0,25.0,6.0,11940000.0,441700000.0,1909
La Liga,Real Sociedad de Fútbol,2023-2024,38,16,12,10,51.0,1.5789473684210529,La Liga,Real Sociedad de Fútbol,40.0,25.2,10.0,12460000.0,498500000.0,1909
La Liga,Real Sociedad de Fútbol,2024-2025,38,13,7,18,35.0,1.2105263157894737,La Liga,Real Sociedad de Fútbol,39.0,24.6,9.0,8850000.0,345050000.0,1909
La Liga,Real Valladolid CF,2022-2023,38,11,7,20,33.0,1.0526315789473684,La Liga,Real Valladolid CF,41.0,26.8,18.0,2210000.0,90750000.0,1928
La Liga,Real Valladolid CF,2024-2025,38,4,4,30,26.0,0.4210526315789473,La Liga,Real Valladolid CF,43.0,25.4,23.0,1890000.0,81450000.0,1928
La Liga,Sevilla FC,2021-2022,38,18,16,4,53.0,1.8421052631578947,La Liga,Sevilla FC,43.0,26.2,21.0,8950000.0,385000000.0,1905
La Liga,Sevilla FC,2022-2023,38,13,10,15,47.0,1.2894736842105263,La Liga,Sevilla FC,42.0,26.8,23.0,5540000.0,232580000.0,1905
La Liga,Sevilla FC,2023-2024,38,10,11,17,48.0,1.0789473684210529,La Liga,Sevilla FC,49.0,26.7,27.0,4670000.0,228750000.0,1905
La Liga,Sevilla FC,2024-2025,38,10,11,17,42.0,1.0789473684210529,La Liga,Sevilla FC,44.0,25.2,19.0,4180000.0,183900000.0,1905
La Liga,UD Almería,2022-2023,38,11,8,19,49.0,1.0789473684210529,La Liga,UD Almería,36.0,25.9,18.0,3170000.0,114200000.0,1989
La Liga,UD Almería,2023-2024,38,3,12,23,43.0,0.5526315789473685,La Liga,UD Almería,41.0,25.3,22.0,2420000.0,99400000.0,1989
La Liga,UD Las Palmas,2023-2024,38,10,10,18,33.0,1.0526315789473684,La Liga,UD Las Palmas,35.0,26.2,11.0,3210000.0,112400000.0,1949
La Liga,UD Las Palmas,2024-2025,38,8,8,22,40.0,0.8421052631578947,La Liga,UD Las Palmas,42.0,25.4,15.0,2790000.0,117300000.0,1949
La Liga,Valencia CF,2021-2022,38,11,15,12,48.0,1.263157894736842,La Liga,Valencia CF,44.0,24.1,20.0,7060000.0,310600000.0,1919
La Liga,Valencia CF,2022-2023,38,11,9,18,42.0,1.105263157894737,La Liga,Valencia CF,40.0,24.5,18.0,6240000.0,249780000.0,1919
La Liga,Valencia CF,2023-2024,38,13,10,15,40.0,1.2894736842105263,La Liga,Valencia CF,36.0,23.8,11.0,6800000.0,244730000.0,1919
La Liga,Valencia CF,2024-2025,38,11,13,14,44.0,1.2105263157894737,La Liga,Valencia CF,44.0,24.5,13.0,4900000.0,215550000.0,1919
La Liga,Villarreal CF,2021-2022,38,16,11,11,63.0,1.5526315789473684,La Liga,Villarreal CF,39.0,26.5,15.0,10480000.0,408900000.0,1923
La Liga,Villarreal CF,2022-2023,38,19,7,12,59.0,1.6842105263157894,La Liga,Villarreal CF,43.0,26.4,15.0,8450000.0,363500000.0,1923
La Liga,Villarreal CF,2023-2024,38,14,11,13,65.0,1.394736842105263,La Liga,Villarreal CF,39.0,27.2,15.0,6470000.0,252500000.0,1923
La Liga,Villarreal CF,2024-2025,38,20,10,8,71.0,1.8421052631578947,La Liga,Villarreal CF,36.0,26.2,16.0,7340000.0,264250000.0,1923
Liga Portugal,AVS Futebol,2024-2025,34,5,12,17,25.0,0.7941176470588235,Liga Portugal,AVS Futebol,35.0,28.3,26.0,591000.0,20700000.0,2023
Liga Portugal,Boavista FC,2021-2022,34,7,17,10,39.0,1.1176470588235294,Liga Portugal,Boavista FC,39.0,24.6,22.0,996000.0,38850000.0,1903
Liga Portugal,Boavista FC,2022-2023,68,24,16,28,86.0,1.2941176470588236,Liga Portugal,Boavista FC,34.0,25.2,21.0,849000.0,28850000.0,1903
Liga Portugal,Boavista FC,2022-2023,68,24,16,28,86.0,1.2941176470588236,Liga Portugal,Boavista FC,32.0,26.8,23.0,555000.0,17750000.0,1903
Liga Portugal,Boavista FC,2023-2024,68,14,22,32,78.0,0.9411764705882352,Liga Portugal,Boavista FC,29.0,24.9,16.0,1030000.0,30000000.0,1903
